序号,名称,学校类别,电话,地址
1048,北京市顺义区沿河中学,23初级中学,69480315,北京市顺义区李桥镇北河村
1049,北京市昌平区第三中学,21完全中学,89782460,北京市昌平区城北街道西关北果园
1050,北京市顺义区赵全营中学,23初级中学,60431128,北京市顺义区牛板路赵全营段129号
1051,北京市顺义区高丽营第二中学,23初级中学,69491828,北京市顺义区高丽营镇张喜庄村拓新区12号
1052,北京市顺义区李遂中学,23初级中学,89481601,北京市顺义区李遂镇南孙路沟北段38号
1053,北京市顺义区第五中学,23初级中学,89441490,北京市顺义区石园西区
1054,北京市顺义区木林中学,23初级中学,60457445,北京市顺义区木林镇顺焦路木林段1号
1055,北京市顺义区龙湾屯中学,23初级中学,60461319,北京市顺义区龙湾屯镇府南路5号
1056,北京市顺义区第二中学,21完全中学,69421643,北京市顺义区前进花园南侧
1057,北京市顺义区第一中学,22高级中学,69444448,北京市顺义区站前东街6号
1058,北京市房山区坨里中学,21完全中学,80379516,北京市房山区青龙湖镇坨里大街15号
1059,北京市昌平区南口职业学校,24一贯制学校,69771570,北京市昌平区南口镇南农家园
1060,北京市太平桥中学,23初级中学,63475285,北京市丰台区太平桥27号
1061,北京市大峪中学,22高级中学,61864113,北京市门头沟区滨河德露苑18号
1062,北京市海淀实验中学,21完全中学,68471805,北京市海淀区白堆子131号
1063,北京市杨庄中学,23初级中学,68870934,北京市石景山区八角北路53号
1064,北京市古城外国语学校,23初级中学,68871582,北京市石景山区八角南路
1065,北大附属实验学校,21完全中学,51180068,北京市丰台区明春苑小区
1066,北京市第十二中学高中分校,22高级中学,83666056,北京市丰台区益泽路15号
1067,北京市第十二中学,21完全中学,83666014,北京市丰台区益泽路15号
1068,北京市丰台区左安门中学,23初级中学,87644261,北京市丰台区成寿寺路四方景园五区9号楼
1069,北京市第四十七中学,21完全中学,62450147,北京市海淀区苏家坨镇北安河村环谷园路8号
1070,首都医科大学附属中学,21完全中学,83401686,北京市丰台区右安门外翠林小区2里22号
1071,北京市海淀区星星学校,24一贯制学校,62985319,北京市海淀区马连洼菊园小区11号楼
1072,北京市第八中学怡海分校,21完全中学,63798086,北京市丰台区南四环西路129号
1073,北京市第八十中学,21完全中学,58047009,北京市朝阳区望京科技园利泽中园
1074,北京市十八里店中学,23初级中学,67472283,北京市朝阳区十八里店乡周家庄甲1号
1075,北京市高家园中学,23初级中学,64345274,北京市朝阳区高家园小区210号
1076,北京市忠德学校,24一贯制学校,51397591,北京市朝阳区东苇路9号
1077,中国红十字基金会北京拔萃双语学校,21完全中学,65496909,北京市朝阳区拔萃路1号
1078,北京市北苑中学,23初级中学,84922680-8824,北京市朝阳区安定门外北苑村2号
1079,北京青年政治学院附属中学,21完全中学,64372718,北京市朝阳区大山子西里10号
1080,中国建筑材料科学研究院附属中学,21完全中学,65745060,北京市朝阳区管庄东里
1081,北京教育学院丰台分院附属学校,24一贯制学校,83207368,北京市丰台区三环新城丰桥路6号院
1082,北京市科迪实验中学,21完全中学,62482677,北京市海淀区苏家坨镇苏三四村
1083,北京市玉渊潭中学,21完全中学,63983619,北京市海淀区羊坊店路皇亭子
1084,中国地质大学附属中学,21完全中学,82310924,北京市海淀区城府路20号
1085,北京市北达资源中学,21完全中学,62752071,北京市海淀区北京大学畅春园
1086,清华大学附属中学,21完全中学,62781662,北京市海淀区中关村北大街
1087,首都师范大学附属育新学校,21完全中学,82930293,北京市海淀区西三旗新康园4号
1088,北京市育强中学,23初级中学,68238169,北京市海淀区阜石路甲59号
1089,北京市海淀区尚丽外国语学校,21完全中学,62591019,北京市海淀区香山南路四统碑
1090,北京市二十一世纪实验学校,21完全中学,88124903,北京市海淀区恩济庄46号
1091,北京市翠微中学,21完全中学,68273011,北京市海淀区翠微路1号
1092,北京市第六十七中学,21完全中学,62881087,北京市海淀区厢红旗东门外甲3号
1093,北京市石景山区华奥学校,24一贯制学校,68664165,北京市石景山区永乐东小区
1094,北京理工大学附属中学,21完全中学,68730977,北京市海淀区车道沟
1096,北京市丰台区槐树岭学校,23初级中学,83804564,北京市丰台区长辛店镇大灰厂东路19号
