名称,地址,星级,区（县）,电话
京都苑宾馆,建国门南大街8号,三星,朝阳区,65291166
二十一世纪饭店,亮马桥路40号,三星,朝阳区,64683311
兰溪宾馆,育慧南路1号兰溪宾馆,三星,朝阳区,84646377
实华饭店,北三环东路西坝河东里14号,三星,朝阳区,64665522
中奥华美达大酒店,慧忠北里214号楼,三星,朝阳区,64809988
安徽大厦,惠新西街1号,三星,朝阳区,64965588
东方宫霄酒店,关东店28号,三星,朝阳区,65068866
蟹岛绿色生态农庄,金盏乡蟹岛路1号,三星,朝阳区,84335566
亚丁湾商务酒店,民族园路9号院甲1号楼,三星,朝阳区,59360606
惠侨饭店,惠新东街19号,三星,朝阳区,64918811
长白山国际酒店,安苑北里25号,三星,朝阳区,64916677
东长安饭店,建国门外大街甲10号,三星,朝阳区,65686688
阳光温特莱酒店,西大望路甲一号,三星,朝阳区,65812600
假日花园酒店,红庙柴家湾7号,三星,朝阳区,65951166
首都国际机场宾馆,首都国际机场内,三星,朝阳区,64577788
塔里木石油酒店,北沙滩5号,三星,朝阳区,64870033
永安宾馆,农展馆北路甲5号,三星,朝阳区,65011188
贵国酒店,左家庄1号,三星,朝阳区,84513388
樱花宾馆,和平里惠新东街17号,三星,朝阳区,64934455
巴渝宾馆,安外北苑路1甲1号,三星,朝阳区,52016001
吉利大厦,雅宝路街甲5号,三星,朝阳区,85628888
明宫宾馆,西坝河西里16号,三星,朝阳区,64273355
胜利饭店,北沙滩3号,三星,朝阳区,64871155
国安宾馆,关东店北街1号,三星,朝阳区,65007700
碧水云天宾馆,焦化路1号,三星,朝阳区,87351230
交通宾馆,安定门外外馆斜街3号,三星,朝阳区,85285566
吐哈宾馆,安苑东里三区2号,三星,朝阳区,64980077
朝阳宾馆,小庄金台西路8号,三星,朝阳区,65014433
重庆饭店,西坝河光熙门北里15号,三星,朝阳区,64228888
长沙宾馆,慧忠北里112号楼,三星,朝阳区,64800088
工体运动酒店,工人体育场内,三星,朝阳区,65016655
