工程名称,建设单位,施工单位,备案编号,备案部门,备案日期
新园区8标段（体育中心、礼堂）,中国科学院大学,北京城建集团有限责任公司,0893怀竣2016(建)0026号,怀柔区住房城乡建设委,2016/10/31
C-2#住宅楼等6项（昌平区沙河镇南一村二类居住用地（配建限价商品住房）项目）,北京润诚嘉信置业有限公司,北京城建二建设工程有限公司-广州富利建筑安装工程有限公司,0892昌竣2016(建)0083号,昌平区住房城乡建设委,2016/10/31
C-1#住宅楼等2项（昌平区沙河镇南一村二类居住用地（配建限价商品住房）项目）,北京润诚嘉信置业有限公司,北京城建二建设工程有限公司-广州富利建筑安装工程有限公司,0891昌竣2016(建)0082号,昌平区住房城乡建设委,2016/10/31
蓝河湾住宅小区二期1组团14#楼、15#楼，2组团1#楼、2#楼、3#楼、4#楼、5#楼、6#楼及8#楼工程,北京首都机场太扬置业有限公司,中航建设集团有限公司,0890密竣2016(建)0028号,密云县住房城乡建设委,2016/10/31
航天新长征电动汽车技术有限公司产业化基地建设项目（三标段：总装车间）,航天新长征电动汽车技术有限公司,北京航天万源建筑工程有限责任公司,0889大竣2016(建)0103号,大兴区住房城乡建设委,2016/10/31
航天新长征电动汽车技术有限公司产业化基地建设项目（二标段：机加工综合车间及门卫室）,航天新长征电动汽车技术有限公司,北京城乡中昊建设有限责任公司,0888大竣2016(建)0102号,大兴区住房城乡建设委,2016/10/31
航天新长征电动汽车技术有限公司产业化基地建设项目（一标段：电装车间及辅料库房）,航天新长征电动汽车技术有限公司,北京航天万源建筑工程有限责任公司,0887大竣2016(建)0101号,大兴区住房城乡建设委,2016/10/31
万隆酒店东北楼装修工程,北京贯通经贸集团,北京新忠记巍明建筑装饰工程有限公司,0175西竣2016(装)0062号,西城区住房城市建设委,2016/10/28
49-16#办公楼（门头沟区永定镇MC00-0020-0031、0049地块F1住宅混合公建用地(配建经济适用房）（门头沟东辛秤C地块东区））,北京中铁东兴房地产开发有限公司,中铁建工集团有限公司,0886门竣2016(建)0040号,门头沟区住房城乡建设委,2016/10/28
31-1#办公楼（门头沟区永定镇MC00-0020-0031、0049地块F1住宅混合公建用地(配建经济适用房）（门头沟东辛秤C地块东区））,北京中铁东兴房地产开发有限公司,中铁航空港建设集团北京有限公司,0885门竣2016(建)0039号,门头沟区住房城乡建设委,2016/10/28
博士后科研创新孵化基地项目3#厂房,中安欧尚投资股份有限公司,中国建筑土木建设有限公司,0884通竣2016(建)0105号,通州区住房城乡建设委,2016/10/27
(北京惠鸿盛隆国际贸易有限公司）车间（工业厂房及配套设施项目）,北京惠鸿盛隆国际贸易有限公司,河北省建材建设有限公司,0883通竣2016(建)0104号,通州区住房城乡建设委,2016/10/27
G135地块工业厂房及配套设施项目9-1#厂房等25项（G135地块工业厂房及配套设施项目）（9-1#厂房等12项）,北京经开光谷置业有限公司,河北建设集团有限公司,0882通竣2016(建)0103号,通州区住房城乡建设委,2016/10/27
C1、C2、C4、C5、C7-C10住宅及地下车库A标段,北京兴昌达博房地产开发有限公司,北京市昌平一建建筑有限责任公司,0881昌竣2016(建)0081号,昌平区住房城乡建设委,2016/10/27
凯德MALL望京外立面装修项目,北京凯德嘉茂望京房地产经营管理有限公司,北京弘高建筑装饰设计工程有限公司,0174朝竣2016(装)0166号,朝阳区住房城乡建设委,2016/10/27
京东方B38研发中心（京东方B38研发中心）,京东方科技集团股份有限公司,中建一局集团第五建筑有限公司,0880朝竣2016(建)0165号,朝阳区住房城乡建设委,2016/10/27
1#科研办公楼等2项（中关村科技园区电子城西区A10-2地块项目）工程,北京东方国信科技股份有限公司,北京市北协建设工程公司,0879朝竣2016(建)0164号,朝阳区住房城乡建设委,2016/10/27
石景山区铸造村集资建房遗留项目3号楼等2项,首钢总公司,北京首钢建设集团有限公司,0878石竣2016(建)0027号,石景山区住房城乡建设委,2016/10/27
石景山区铸造村集资建房遗留项目1号住宅楼等7项（1号住宅楼、8号住宅楼）,首钢总公司,北京大龙建设集团有限公司,0877石竣2016(建)0026号,石景山区住房城乡建设委,2016/10/27
石景山区铸造村集资建房遗留项目1号住宅楼等7项（5号住宅楼、6号住宅楼、地下车库）,首钢总公司,北京首钢建设集团有限公司,0876石竣2016(建)0025号,石景山区住房城乡建设委,2016/10/27
D栋住宅楼（自住型商品房）等4项（朝阳区百子湾路14号住宅混合公建项目）,北京建工置地有限责任公司,北京建工四建工程建设有限公司,0875朝竣2016(建)0163号,朝阳区住房城乡建设委,2016/10/27
A栋公建等3项（朝阳区百子湾路14号住宅混合公建项目）,北京建工置地有限责任公司,北京建工四建工程建设有限公司,0874朝竣2016(建)0162号,朝阳区住房城乡建设委,2016/10/27
招商上苑1#住宅楼等5项,招商局地产（北京）有限公司,中建三局集团有限公司,0873朝竣2016(建)0161号,朝阳区住房城乡建设委,2016/10/27
1#-A座办公楼等7项（北京市大兴区清城商业中心建设工程项目）,北京龙熙房地产开发有限责任公司,江苏金坛建工集团有限公司,0872大竣2016(建)0100号,大兴区住房城乡建设委,2016/10/27
6#新建办公楼,北京通州开关有限公司,北京牛建建筑集团有限公司,0871通竣2016(建)0102号,通州区住房城乡建设委,2016/10/27
N101#住宅楼等118项(三标段32栋),北京瑞坤置业有限责任公司,北京市昌平一建建筑有限责任公司,0870昌竣2016(建)0080号,昌平区住房城乡建设委,2016/10/27
1#楼（公租房）等15项（通州区台湖镇4-1-017、4-1-010地块居住、医疗卫生项目）（2#楼至4#楼（商品房）、6#楼至8#楼（商品房）、12#楼（商品房）、配套1至配套4、地下车库、医疗卫生站,北京首开万科房地产开发有限公司,中天建设集团有限公司,0869通竣2016(建)0101号,通州区住房城乡建设委,2016/10/27
分拣车间B等13项（新华联合物流中心项目）,新华联合发行有限公司,北京城建集团有限责任公司,0868顺竣2016(建)0071号,顺义区住房城乡建设委,2016/10/27
033-8#住宅楼等27项（门头沟区门头沟新城MC10-033、MC10-035-1、MC10-035-2、MC10-036、MC10-055、MC10-056地块二类居住、商业金融、托幼及社会停车场库用地项目）,北京金水房地产开发有限公司,中电建建筑集团有限公司,0867门竣2016(建)0038号,门头沟区住房城乡建设委,2016/10/26
戴姆勒智行利星行B座15层办公室精装修及机电改造工程,戴姆勒智行（中国）租赁有限公司,北京金丰环球建筑装饰有限公司,0173朝竣2016(装)0160号,朝阳区住房城乡建设委,2016/10/26
18-02-11/15地块B01#住宅楼等9项（房山区长阳镇18-02-03等地块（理工大学7号地）项目）,北京金阳置业有限公司,中铁四局集团有限公司,0866房竣2016(建)0087号,房山区住房城乡建设委,2016/10/26
18-02-05地块A14#住宅楼等20项（房山区长阳镇18-02-03等地块（理工大学7号地）项目）（A11#-A16#住宅楼及05地块地下车库等7项）,北京金阳置业有限公司,中国新兴建设开发总公司,0865房竣2016(建)0086号,房山区住房城乡建设委,2016/10/26
B-12号住宅楼等18项（丰台区青龙湖郊野休闲社区一期）,北京西海龙湖置业有限公司,中建三局集团有限公司,0864丰竣2016(建)0065号,丰台区住房城乡建设委,2016/10/26
幼儿园（丰台区城乡一体化卢沟桥乡西局村旧村改造项目一期XJ-03-02、XJ-05、XJ-09地块二类居住、托幼、商业金融用地项目),北京葛洲坝龙湖置业有限公司,江苏江都建设集团有限公司,0863丰竣2016(建)0064号,丰台区住房城乡建设委,2016/10/26
5#商品住宅楼等10项（《关于丰台区城乡一体化卢沟桥乡西局村旧村改造项目一期XJ-03-02、XJ-05、XJ-09地块二类居住、托幼、商业金融用地项目核准的批复》）（5#、6#、10#商品住宅楼）,北京葛洲坝龙湖置业有限公司,江苏江都建设集团有限公司,0862丰竣2016(建)0063号,丰台区住房城乡建设委,2016/10/26
5#商品住宅楼等10项（《关于丰台区城乡一体化卢沟桥乡西局村旧村改造项目一期XJ-03-02、XJ-05、XJ-09地块二类居住、托幼、商业金融用地项目核准的批复》）（2#、4#居住公共服务设施楼，7#、8#、9#、11#商品住宅楼及12#地下车库）,北京葛洲坝龙湖置业有限公司,江苏江都建设集团有限公司,0861丰竣2016(建)0062号,丰台区住房城乡建设委,2016/10/26
1#办公、商务型公寓、商业楼等4项（通州区运河核心区IV-01地块项目）,绿地集团北京京尚置业有限公司,上海伦明建设（集团）有限公司,0860通竣2016(建)0100号,通州区住房城乡建设委,2016/10/25
通州区九棵树大街居住项目3#住宅楼、7#住宅楼等2项（通州区九棵树大街居住项目）,北京祈连房地产开发有限公司,江苏省苏中建设集团股份有限公司,0859通竣2016(建)0099号,通州区住房城乡建设委,2016/10/25
45#住宅楼等15项（顺义区马坡住宅及配套设施（新城2号地）项目）,北京顺义新城建设开发有限公司,中北华宇建筑工程公司,0858顺竣2016(建)0070号,顺义区住房城乡建设委,2016/10/25
F-U1消防站（大兴区亦庄新城III-1街区F地块居住及配套项目）,北京远盛置业有限公司,远洋国际建设有限公司,0857大竣2016(建)0099号,大兴区住房城乡建设委,2016/10/25
羊坊一号路市政工程,北京市绿化隔离地区基础设施开发建设有限公司,北京建工路桥工程建设有限责任公司,0187丰竣2016(市政)0061号,丰台区住房城乡建设委,2016/10/25
蓝河湾住宅小区二期二标段2组团7#楼、9#楼、10#楼及地下设备用房,北京首都机场太扬置业有限公司,中航建设集团有限公司,0856密竣2016(建)0027号,密云县住房城乡建设委,2016/10/24
1#办公楼等13项(欣港城创意科技中心(北京市顺义区新城第22街区22-06-001、22-06-002地块其他多功能用地)项目),北京中航油置业有限公司,北京港源建筑装饰工程有限公司,0855顺竣2016(建)0069号,顺义区住房城乡建设委,2016/10/24
3-9#住宅楼（豆各庄3、4号地通惠灌渠西侧地块东城区旧城保护定向安置房项目）,北京市东城区住宅发展中心,北京东兴建设有限责任公司,0854东竣2016(建)0050号,东城区住房城市建设委,2016/10/24
3-6#住宅楼（豆各庄3、4号地通惠灌渠西侧地块东城区旧城保护定向安置房项目）,北京市东城区住宅发展中心,北京东兴建设有限责任公司,0853东竣2016(建)0049号,东城区住房城市建设委,2016/10/24
美团网望京恒电大厦B、C座办公楼内装修工程,北京三快在线科技有限公司,北京金丰环球建筑装饰有限公司,0172朝竣2016(装)0159号,朝阳区住房城乡建设委,2016/10/21
中铁二十二局房山良乡基地1#职工住宅楼等27项,中铁二十二局集团有限公司,中铁二十二局集团有限公司,0852房竣2016(建)0085号,房山区住房城乡建设委,2016/10/21
昌平区鲁疃西路（定泗路-顺于路西延）桥梁工程,北京未来科技城发展集团有限公司,北京市市政二建设工程有限责任公司,0186市竣2016(市政)0137号,市住房城乡建设委,2016/10/21
昌平区鲁疃西路（定泗路—顺于路西延）道路及排水工程,北京未来科技城发展集团有限公司,中外建华诚城市建设有限公司,0185市竣2016(市政)0136号,市住房城乡建设委,2016/10/21
7组团7-01#住宅楼(变更）等5项（永丰嘉园二期（7、8组团））,北京德成兴业房地产开发有限公司,北京城建二建设工程有限公司,0851海竣2016(建)0101号,海淀区住房城乡建设委,2016/10/21
永丰嘉园7组团7-03#住宅楼等3项,北京德成兴业房地产开发有限公司,北京城建二建设工程有限公司,0850海竣2016(建)0100号,海淀区住房城乡建设委,2016/10/21
永丰嘉园7组团8#住宅楼等3项（8#、9#、10#）,北京德成兴业房地产开发有限公司,北京城建二建设工程有限公司,0849海竣2016(建)0099号,海淀区住房城乡建设委,2016/10/21
海淀区东升乡楔形绿地D地块还建公建项目,北京市海淀区京海农工商公司,天元建设集团有限公司,0848海竣2016(建)0098号,海淀区住房城乡建设委,2016/10/21
海淀区民政局婚姻登记处装修改造工程,北京市海淀区民政局,北京东豪建设集团有限公司,0171海竣2016(装)0097号,海淀区住房城乡建设委,2016/10/21
618-2#商业办公楼等3项（朝阳区崔各庄乡大望京村2号地）,北京乾景房地产开发有限公司,中国建筑一局(集团)有限公司,0847朝竣2016(建)0158号,朝阳区住房城乡建设委,2016/10/20
618-1#楼、2#楼地下车库（朝阳区崔各庄乡大望京村2号地）,北京乾景房地产开发有限公司,中国建筑一局(集团)有限公司,0846朝竣2016(建)0157号,朝阳区住房城乡建设委,2016/10/20
北京六必居食品有限公司前门门市部改建商业用房工程（北京六必居食品有限公司前门门市部翻建工程）,北京六必居食品有限公司,北京房地集团有限公司,0845西竣2016(建)0061号,西城区住房城市建设委,2016/10/20
3-2#、3-3#、3-5#住宅楼（豆各庄3、4号通惠灌渠西侧地块东城区旧城保护定向安置房项目）,北京市东城区住宅发展中心,北京住总第二开发建设有限公司,0844东竣2016(建)0048号,东城区住房城市建设委,2016/10/20
3-8#住宅楼（豆各庄3、4号地通惠灌渠西侧地块东城区旧城保护定向安置房项目）,北京市东城区住宅发展中心,北京城乡建设集团有限责任公司,0843东竣2016(建)0047号,东城区住房城市建设委,2016/10/20
X10-1#住宅楼等24项及幼儿园（昌平区沙河镇C-X06、C-X07、C-X10地块二类居住、公建混合住宅、托幼用地项目（配建人才公共租赁住房））,北京锦昊万华置业有限公司,江苏南通二建集团有限公司,0842昌竣2016(建)0079号,昌平区住房城乡建设委,2016/10/20
X10-15#住宅楼等3项（昌平区沙河镇C-X06、C-X07、C-X10地块二类居住、公建混合住宅、托幼用地项目（配建人才公共租赁住房））,北京锦昊万华置业有限公司,江苏南通二建集团有限公司,0841昌竣2016(建)0078号,昌平区住房城乡建设委,2016/10/20
二期工业厂房（新建二期工业厂房）,北京乔治费歇尔管路系统有限公司,北京国泰建设集团有限公司,0840通竣2016(建)0098号,通州区住房城乡建设委,2016/10/20
施耐德北京展厅内装修工程,施耐德电气（中国）有限公司,北京东方立人装饰工程有限责任公司,0170朝竣2016(装)0156号,朝阳区住房城乡建设委,2016/10/20
新源南路8号华都中心西塔电梯楼层16层（自然楼层13层）9-14单元内装修工程,贝塔斯曼管理（上海）有限公司北京分公司,北京一工建筑装饰工程有限公司,0169朝竣2016(装)0155号,朝阳区住房城乡建设委,2016/10/20
A1住宅楼（含底商）等11项（数码科技园）,北京经开工大投资管理有限公司,北京博大经开建设有限公司,0839经竣2016(建)0084号,经济技术开发区建设局,2016/10/20
B#配套楼等6项,北京航丰园科技发展有限责任公司,北辰正方建设集团有限公司,0838丰竣2016(建)0060号,丰台区住房城乡建设委,2016/10/19
北京三里屯太古里北区史贝斯商铺内装修工程,上海史贝斯健身管理有限公司,北京侨信装饰工程有限公司,0168朝竣2016(装)0154号,朝阳区住房城乡建设委,2016/10/19
紫云家园03-5-07地块2#住宅楼等31项（房山区长阳镇（长阳镇起步区5号地）居住、商业项目）（03-5-08地块1#至8#楼、PT1#至PT5#、地下车库及出入口）,北京中粮万科房地产开发有限公司,中兴建设有限公司,0836房竣2016(建)0083号,房山区住房城乡建设委,2016/10/19
A-1商业办公楼等165项（二标段）,北京东亚信中国际会展中心有限公司,宿迁华夏基业建筑工程有限公司,0835怀竣2016(建)0025号,怀柔区住房城乡建设委,2016/10/18
石景山区食品药品监督管理局食品安全检（监）测能力建设项目实验室装修改造工程第一包,北京市石景山区食品药品监督管理局,北京艺成园装修设计有限公司,0834石竣2016(建)0024号,石景山区住房城乡建设委,2016/10/18
北京通州运河核心区市政配套工程安顺路（通燕路-温榆河西滨河路）道路、给水、排水、再生水、电信工程,北京新奥通城房地产开发有限公司,北京市建华公路工程有限公司,0833市竣2016(建)0135号,市住房城乡建设委,2016/10/18
音乐厅等2项（音乐厅、学生公寓）,中央音乐学院,中国建筑第八工程局有限公司,0832西竣2016(建)0060号,西城区住房城市建设委,2016/10/18
1#回迁住宅楼及居住公共服务设施等6项,北京市新时特房地产开发有限公司 ,中国新兴保信建设总公司,0831丰竣2016(建)0059号,丰台区住房城乡建设委,2016/10/17
综合楼（含食堂、集体宿舍、展厅、研发试验、研发办公等）等5项（新型材料生产基地建设、迁建项目）,森特士兴集团股份有限公司,河南开祥建筑集团有限公司,0830经竣2016(建)0083号,经济技术开发区建设局,2016/10/17
5#办公用房等2项（顺义新城第7街区0701-013地块F2公建混合住宅用地（配建限价商品住房）项目）,中铁房地产集团北京浩达置业有限公司,中铁城建集团北京工程有限公司,0829顺竣2016(建)0068号,顺义区住房城乡建设委,2016/10/17
4#办公用房（顺义新城第7街区0701-013地块F2公建混合住宅用地（配建限价商品住房）项目）,中铁房地产集团北京浩达置业有限公司,中铁城建集团北京工程有限公司,0828顺竣2016(建)0067号,顺义区住房城乡建设委,2016/10/17
水岸庄园A03区933、935、936、937、938、939、960、961、962、963、965、966、967、968、969、970、990、991、992、993、995号住宅楼,北京润泽庄苑房地产开发有限公司,北京京华嘉典建筑工程有限公司,0827朝竣2016(建)0153号,朝阳区住房城乡建设委,2016/10/15
水岸庄园A03区509、510、521、522、523、525、556、557、558、559、560、570、571、572、573、575、586、587、588、589、688、689、690、691号住宅楼,北京润泽庄苑房地产开发有限公司,北京京华嘉典建筑工程有限公司,0826朝竣2016(建)0152号,朝阳区住房城乡建设委,2016/10/15
水岸庄园A03区323、325、326、327、328、329、330、331、332、333、362、363、378、379、380、381、382、383、385、386、387、388、389、390住宅楼,北京润泽庄苑房地产开发有限公司,北京京华嘉典建筑工程有限公司,0825朝竣2016(建)0151号,朝阳区住房城乡建设委,2016/10/15
0801-0702地块社区文化活动中心（大兴区西红门组团0801街区南部地区商品房及0802街区配套项目）,北京鸿坤伟业房地产开发有限公司,湖南省第六工程有限公司,0824大竣2016(建)0098号,大兴区住房城乡建设委,2016/10/14
残疾人托养所等2项、福利院等3项（大兴区西红门经济适用房0801-05地块配套公建项目）,北京鸿坤伟业房地产开发有限公司,湖南省第六工程有限公司,0823大竣2016(建)0097号,大兴区住房城乡建设委,2016/10/14
1号展厅及办公用房等5项（配送中心建设工程项目）,北京新丰泰博奥商贸有限责任公司,北京恒宇建筑工程有限公司,0822顺竣2016(建)0066号,顺义区住房城乡建设委,2016/10/14
卫生部心血管病防治研究中心及阜外心血管病医院扩建工程,中国医学科学院阜外医院,北京住总集团有限责任公司,0821西竣2016(建)0059号,西城区住房城市建设委,2016/10/14
3#住宅楼等6项及9#住宅楼等5项（海淀区西三旗建材城危改项目二期（配建公共租赁住房）项目）,北京金隅程远房地产开发有限公司,北京市第五建筑工程集团有限公司,0820海竣2016(建)0096号,海淀区住房城乡建设委,2016/10/14
1#住宅楼等2项（海淀区西三旗建材城危改项目二期（配建公共租赁住房）项目）,北京金隅程远房地产开发有限公司,北京市第五建筑工程集团有限公司,0819海竣2016(建)0095号,海淀区住房城乡建设委,2016/10/14
大西山风景旅游区西埠头旅游配套1#客房等26项（旅游配套设施）及大西山风景旅游区西埠头旅游配套27#客房等24项（旅游配套设施）及大西山风景旅游区西埠头旅游配套40#客房等3项（旅游配套设施）及大西山风景旅游区西埠头旅游配套54#客房等10项（旅游配套设施）,北京旷怡园房地产有限公司,国都建设(集团）有限公司,0818海竣2016(建)0094号,海淀区住房城乡建设委,2016/10/14
人民大会堂新闻发布厅及周边区域结构抗震加固施工项目,人民大会堂管理局,中煤建设集团工程有限公司,0167市竣2016(装)0134号,市住房城乡建设委,2016/10/14
医疗辅助用房等3项,北京胸科医院,北京中关村开发建设股份有限公司,0817海竣2016(建)0093号,海淀区住房城乡建设委,2016/10/13
医疗用房,北京胸科医院,中国建筑第二工程局,0816海竣2016(建)0092号,海淀区住房城乡建设委,2016/10/13
西6#住宅楼（两限商品住房）等6项（顺义新城第7街区SY00-0007-6001、6006地块R2二类居住用地（两限商品住房）项目）,北京东泽房地产投资有限公司,北京市顺义建筑工程公司,0814顺竣2016(建)0065号,顺义区住房城乡建设委,2016/10/13
北京语言大学综合楼二期工程礼堂精装修项目,北京语言大学,中建七局建筑装饰工程有限公司,0166海竣2016(装)0091号,海淀区住房城乡建设委,2016/10/13
教学实验楼等7项（大兴区第五中学建设工程）,北京市大兴区第五中学,北京天恒建设工程有限公司,0813大竣2016(建)0096号,大兴区住房城乡建设委,2016/10/12
中国科学院国家空间科学中心（怀柔园区） 门卫工程,中国科学院国家空间科学中心,北京易成市政工程有限责任公司,0812怀竣2016(建)0024号,怀柔区住房城乡建设委,2016/10/12
电子加工中心,北京铁路信号有限公司,北京六建集团有限责任公司,0811大竣2016(建)0095号,大兴区住房城乡建设委,2016/10/11
月坛金融中心2号楼装修改造项目,北京农村商业银行股份有限公司,中建二局第三建筑工程有限公司,0165西竣2016(装)0058号,西城区住房城市建设委,2016/10/11
中华全国台湾同胞联谊会一层大厅装修工程,中华全国台湾同胞联谊会,北京群成装饰工程有限公司,0164东竣2016(装)0046号,东城区住房城市建设委,2016/10/11
A座商业办公楼等5项（奥体南区2号地项目）一标段A座商业办公楼、A座1#2#人防出入口、地下商业主出入口,北京天圆祥泰置业有限公司,中铁建设集团有限公司,0810市竣2016(建)0132号,市住房城乡建设委,2016/10/10
生产厂房（北京北瑞达医药科技有限公司新厂区建设工程）,北京北瑞达医药科技有限公司,北京天恒建设工程有限公司,0809大竣2016(建)0094号,大兴区住房城乡建设委,2016/10/10
冲压辅房等2项（乘用车一期工程配套厂房建设）,重庆长安汽车股份有限公司北京长安汽车公司,北京八达岭金宸建筑有限公司,0808房竣2016(建)0082号,房山区住房城乡建设委,2016/10/10
总配电室（乘用车一期工程配套厂房建设）,重庆长安汽车股份有限公司北京长安汽车公司,北京德方建设工程有限公司,0807房竣2016(建)0081号,房山区住房城乡建设委,2016/10/10
1#厂房等2项（1号、2号厂房建设工程项目）,北京长空工业有限公司,北京路鹏达市政工程有限责任公司,0806昌竣2016(建)0077号,昌平区住房城乡建设委,2016/10/10
1#生产厂房等13项（北京刘庄华星医药科技有限公司生物活性肽健康食品厂房建设项目）,北京刘庄华星医药科技有限公司,中国水利水电第二工程局有限公司,0805昌竣2016(建)0076号,昌平区住房城乡建设委,2016/10/10
A1工业厂房 (电子城IT产业园电子工业厂房二期)精装修工程,北京电子城有限责任公司,斯特龙装饰股份有限公司,0163朝竣2016(装)0150号,朝阳区住房城乡建设委,2016/10/9
商务办公楼等2项（北京奥体南区3号地项目）,北京奥南时代置业有限公司,中国建筑股份有限公司,0804朝竣2016(建)0149号,朝阳区住房城乡建设委,2016/10/9
1#办公楼等3项、2号商业楼、4#办公楼等5项（通州区商务园D1-5、D1-6、D1-7地块项目）,北京紫石房地产开发有限公司,南通永峰建筑安装工程有限公司,0803通竣2016(建)0097号,通州区住房城乡建设委,2016/10/9
1#厂房及办公实验楼等3项（生产厂房及仓库用房项目）,北京永安达机械工程有限公司,邯郸市邯二建筑工程有限公司,0802大竣2016(建)0093号,大兴区住房城乡建设委,2016/10/9
中国社会科学院科研楼装修改造项目(内装修),中国社会科学院,中艺建筑装饰有限公司,0162东竣2016(装)0045号,东城区住房城市建设委,2016/10/9
国贸三期B阶段裙楼地上（C地块及景茂街过街楼五至七层与地下一层）（国贸三期C地块及景茂街过街楼项目）、（景茂街以北、景茂街过街楼三、四层）和主塔楼一至六层（国贸三期工程）,中国国际贸易中心股份有限公司,中建一局集团建设发展有限公司,0801市竣2016(建)0131号,市住房城乡建设委,2016/10/9
国贸三期工程B阶段地下部分(国贸三期B阶段),中国国际贸易中心股份有限公司,中建一局集团建设发展有限公司,0800市竣2016(建)0130号,市住房城乡建设委,2016/10/9
24#楼（新街口外大街2号35楼）、化学楼（新街口外大街2号51楼）洁净等改造工程,北京有色金属研究总院,北京市建筑工程装饰有限公司,0161西竣2016(装)0057号,西城区住房城市建设委,2016/10/9
化学楼（51楼号或幢号）、物理楼（51楼号或幢号）一般改造,北京有色金属研究总院,北京宝电装饰工程有限责任公司,0160西竣2016(装)0056号,西城区住房城市建设委,2016/10/9
北京市通州区宋庄镇二类居住及商业金融项目4#住宅楼等9项（北京市通州区宋庄镇二类居住及商业金融用地项目）,北京旭辉阳光置业有限公司,中建三局建设工程股份有限公司,0799通竣2016(建)0096号,通州区住房城乡建设委,2016/10/9
新源南路8号华都中心西塔电梯楼层23层（自然楼层20层）内装修工程,珠海横琴新区长实资本管理有限公司,北京中建乐孚装饰工程有限责任公司,0159朝竣2016(装)0148号,朝阳区住房城乡建设委,2016/9/30
办公、商业、车库等,北京国元通投资管理公司,北京国泰建设集团有限公司,0798丰竣2016(建)0058号,丰台区住房城乡建设委,2016/9/30
通州会议中心配套附属工程,北京市通州区行政事业资产事务中心,湖南省建筑工程集团总公司,0797通竣2016(建)0095号,通州区住房城乡建设委,2016/9/30
石景山区石槽E03地块商业项目装修工程,远洋地产有限公司,远洋国际建设有限公司,0158石竣2016(装)0023号,石景山区住房城乡建设委,2016/9/30
B09-01 1#等7项（平谷区马坊镇B09-01、B10-01地块居住项目）,北京首城置业有限公司,北京城建五建设集团有限公司,0796平竣2016(建)0015号,平谷区住房城乡建设委,2016/9/30
1#车间等4项（北京住总顺义住宅产业化基地项目）,北京住总实业投资控股有限公司,北京住总第一开发建设有限公司,0795顺竣2016(建)0064号,顺义区住房城乡建设委,2016/9/30
2#住宅楼等8项（顺义区仁和镇梅沟营村（南侧）居住（配建限价商品房）项目）养老院用房,北京慧眼置业有限公司,南通启益建设集团有限公司,0794顺竣2016(建)0063号,顺义区住房城乡建设委,2016/9/29
1#生产车间等7项（抗体、疫苗、诊断试剂产业化基地项目）,北京义翘神州生物技术有限公司,河北建设集团有限公司,0793经竣2016(建)0082号,经济技术开发区建设局,2016/9/29
1#住宅楼等25项（河西区X86R1地块二类居住（配建公共租赁住房）项目）（汽车库及1#住宅楼、8#住宅楼、9#住宅楼、甲2#楼、14#住宅楼、1#~5#人防出入口、燃气锅炉房、PT1#~PT2#低基变配电室、雨水调蓄池、垃圾分类投放站）（北京万瑞）,北京万瑞房地产开发有限公司,中国建筑第五工程局有限公司,0792经竣2016(建)0081号,经济技术开发区建设局,2016/9/29
A3#住宅楼等14项,北京远盛置业有限公司,远洋国际建设有限公司,0791大竣2016(建)0092号,大兴区住房城乡建设委,2016/9/29
1#住宅楼等25项（河西区X86R1地块二类居住（配建公共租赁住房）项目）（甲1#楼、12#住宅楼）  （北京万瑞）,北京万瑞房地产开发有限公司,中国建筑第五工程局有限公司,0790经竣2016(建)0080号,经济技术开发区建设局,2016/9/29
C5商业会所（大兴区亦庄新城III-1街区F地块居住及配套项目）,北京远盛置业有限公司,远洋国际建设有限公司,0789大竣2016(建)0091号,大兴区住房城乡建设委,2016/9/29
潭柘寺镇东一街、镇东二街、镇东四街等七条支路-、给水、再生水、雨水、污水管线、门头沟潭柘寺镇中心区三号街区镇东二街及镇东四街等五条支路电力管线(2#标段）,北京市基础设施投资有限公司,北京城建道桥建设集团有限公司,0184门竣2016(市政)0037号,门头沟区住房城乡建设委,2016/9/29
潭柘寺镇东一街、镇东二街、镇东四街等七条支路、给水、再生水、雨水、污水管线、门头沟潭柘寺镇中心区三号街区镇东二街及镇东四街等五条支路电力管线（1＃标段）,北京市基础设施投资有限公司,北京市政路桥股份有限公司,0183门竣2016(市政)0036号,门头沟区住房城乡建设委,2016/9/29
门头沟区石龙工业区18号地公建、住宅及配套项目非配套公建C1楼（门头沟区石龙工业区18号地公建、住宅及配套项目）,北京东方双龙时代置业有限公司,中建三局集团有限公司,0788门竣2016(建)0035号,门头沟区住房城乡建设委,2016/9/29
"大兴新城核心区规划纵一路道路、给水、排水、再生水、电力管线工程,大兴新城核心区规划横十路道路、给水、排水、再生水管线工程",北京兴创投资有限公司,北京成业市政工程有限责任公司,0182大竣2016(市政)0090号,大兴区住房城乡建设委,2016/9/29
中科院机关办公楼整体综合维修工程,中国科学院,北京市朝阳田华建筑集团公司,0157西竣2016(装)0055号,西城区住房城市建设委,2016/9/29
1#-4#楼办公、商业；11#-12#楼商业；14#楼商业；人防出入口；单建地下室A,北京上和致远房地产开发有限公司,永同昌建设集团有限公司,0787大竣2016(建)0089号,大兴区住房城乡建设委,2016/9/29
新街口北大街3号项目室内装修改造工程,北京新华燕房地产发展有限公司,北京中建华腾装饰工程有限公司,0156西竣2016(装)0054号,西城区住房城市建设委,2016/9/29
