工程名称,建设单位,施工单位,备案编号,备案部门,备案日期
车间及办公楼（北京东方阳阳餐饮管理有限公司食品加工生产基地建设项目）,北京东方阳阳餐饮管理有限公司,北京万兴建筑集团有限公司,0667大竣2016(建)0073号,大兴区住房城乡建设委,2016/8/22
C1地块12#住宅楼等4项(海淀区西北旺C1地块居住项目）,北京万湖房地产开发有限公司,鹏达建设集团有限公司,0666海竣2016(建)0079号,海淀区住房城乡建设委,2016/8/22
城子水厂改扩建,北京市门头沟区水务局,北京城建集团有限责任公司,0163市竣2016(市政)0118号,市住房城乡建设委,2016/8/19
1#住宅及公共服务设施楼,北京金科纳帕置业有限公司,中国建筑第二工程局有限公司,0665昌竣2016(建)0065号,昌平区住房城乡建设委,2016/8/19
宫霄大厦装修装饰工程（内外装修）,北京市朝阳区供销合作社,北京诚通新新建设有限公司,0124朝竣2016(装)0119号,朝阳区住房城乡建设委,2016/8/19
商务办公楼等2项,北京市凌云宇阳房地产开发有限公司,北京住总第二开发建设有限公司,0664朝竣2016(建)0118号,朝阳区住房城乡建设委,2016/8/19
上水管线消隐工程35条（东城区台基厂大街等21条上水管线消隐工程）西城区段,北京市自来水集团有限责任公司管网管理分公司,北京市自来水集团禹通市政工程有限公司,0663市竣2016(建)0117号,市住房城乡建设委,2016/8/18
上水管线消隐工程35条（东城区台基厂大街等21条上水管线消隐工程）西城区段,北京市自来水集团有限责任公司管网管理分公司,北京市自来水集团禹通市政工程有限公司,0662市竣2016(建)0116号,市住房城乡建设委,2016/8/18
通州区西集镇中心区住宅、商业项目1-1#住宅楼等13项（通州区西集镇中心区住宅、商业项目）,北京金海鸿业房地产开发有限公司,北京城建亚泰建设集团有限公司,0661通竣2016(建)0077号,通州区住房城乡建设委,2016/8/18
1#生产车间等7项（抗体、疫苗、诊断试剂产业化基地项目）,北京义翘神州生物技术有限公司,河北建设集团有限公司,0660经竣2016(建)0073号,经济技术开发区建设局,2016/8/18
1#住宅楼等5项（房山区房山新城良乡组团04街区04-06-11、12二类居住、商业金融用地项目）,北京城建胜茂房地产开发有限责任公司,北京龙建集团有限公司,0659房竣2016(建)0063号,房山区住房城乡建设委,2016/8/17
综合楼等3项,北京康沃电气有限公司,北京市通州草厂建筑公司,0658经竣2016(建)0072号,经济技术开发区建设局,2016/8/17
石景山区东下庄定向安置房项目,北京东和伟业房地产开发有限公司,北京市石景山区建筑公司,0657石竣2016(建)0018号,石景山区住房城乡建设委,2016/8/16
101#科研楼1号（国电新能源技术研究院）,中国国电集团公司,中建一局集团建设发展有限公司,0656昌竣2016(建)0064号,昌平区住房城乡建设委,2016/8/16
303#1号研发楼等13项（国电新能源技术研究院）,中国国电集团公司,中建一局集团建设发展有限公司,0655昌竣2016(建)0063号,昌平区住房城乡建设委,2016/8/16
5#办公用房等2项（顺义新城第7街区0701-013地块F2公建混合住宅用地（配建限价商品住房）项目）,中铁房地产集团北京浩达置业有限公司,中铁城建集团北京工程有限公司,0652顺竣2016(建)0051号,顺义区住房城乡建设委,2016/8/16
石榴庄路热力管线工程,北京市热力集团有限责任公司,北京城建道桥建设集团有限公司,0162市竣2016(市政)0115号,市住房城乡建设委,2016/8/15
幼儿园（房山区阎村镇04-0084地块项目）,北京天恒乐活城置业有限公司,北京国际建设集团有限公司,0651房竣2016(建)0062号,房山区住房城乡建设委,2016/8/12
成寿寺综合楼,北京正阳恒瑞置业公司,北京开兴建筑工程有限责任公司,0650丰竣2016(建)0048号,丰台区住房城乡建设委,2016/8/12
上海浦东发展银行股份有限公司北京分行监控中心装修工程,上海浦东发展银行股份有限公司北京分行,北京爱地鑫装饰艺术有限责任公司,0123东竣2016(装)0041号,东城区住房城市建设委,2016/8/12
海淀区上庄镇B10地块自住型商品房项目四标段（9#、10#、15#、16#住宅楼）,北京三元嘉业房地产开发有限公司,北京住总第四开发建设有限公司,0649海竣2016(建)0078号,海淀区住房城乡建设委,2016/8/11
海淀区上庄镇B10地块自住型商品房项目一标段（2#、3#住宅楼）,北京三元嘉业房地产开发有限公司,北京三元安达建筑有限公司,0648海竣2016(建)0077号,海淀区住房城乡建设委,2016/8/11
海淀区上庄镇B10地块自住型商品房项目二标段（1#、5#、6#住宅楼）,北京三元嘉业房地产开发有限公司,北京建工博海建设有限公司,0647海竣2016(建)0076号,海淀区住房城乡建设委,2016/8/11
海淀区上庄镇B10地块自住型商品房项目三标段（11#、12#、13#、14#住宅楼、1#居住公共服务设施）,北京三元嘉业房地产开发有限公司,中承华宇建设集团有限公司,0646海竣2016(建)0075号,海淀区住房城乡建设委,2016/8/11
海淀区上庄镇B10地块自住型商品房项目五标段（4#、7#、8#住宅楼）,北京三元嘉业房地产开发有限公司,北京三元长城建筑有限责任公司,0645海竣2016(建)0074号,海淀区住房城乡建设委,2016/8/11
（北京燕京汽车厂生产线搬迁改造项目）（总装车间（含试制、淋雨）、办公楼、食堂（附属设施）、锅楼房（附属设施）、空调机房（附属设施）、门卫一、门卫二、门卫三）,北京中资燕京汽车有限公司,中地长泰建设有限公司,0644房竣2016(建)0061号,房山区住房城乡建设委,2016/8/11
中铁二十二局良乡基地幼儿园,中铁二十二局集团有限公司,中铁二十二局集团有限公司,0643房竣2016(建)0060号,房山区住房城乡建设委,2016/8/11
华都中心酒店及办公楼地上部分（华都中心项目）,北京华都饭店有限责任公司,中国建筑第八工程局有限公司,0642朝竣2016(建)0117号,朝阳区住房城乡建设委,2016/8/11
中水工程,北京大洋房地产开发有限公司,北京市通盛达市政公用工程有限公司,0161朝竣2016(市政)0116号,朝阳区住房城乡建设委,2016/8/11
上地村西路热力管线工程,北京实创高科技发展有限责任公司,北京久安建设投资集团有限公司,0160海竣2016(市政)0073号,海淀区住房城乡建设委,2016/8/10
3＃农民回迁住宅楼,北京市昌平区东小口镇上坡村村民委员会,北京市昌平一建建筑有限责任公司,0641昌竣2016(建)0062号,昌平区住房城乡建设委,2016/8/10
剧院等2项外立面装修,北京北辰实业集团有限责任公司,建峰建设集团股份有限公司,0122朝竣2016(装)0115号,朝阳区住房城乡建设委,2016/8/9
吉乐LED生产工艺环境改造,北京吉乐电子有限责任公司,北京钧源达建筑工程有限公司,0640密竣2016(建)0021号,密云县住房城乡建设委,2016/8/9
先锋国际大厦室内装修工程,北京霄云华园置业有限公司,中艺建筑装饰有限公司,0121朝竣2016(装)0114号,朝阳区住房城乡建设委,2016/8/9
