单位名称,许可备案号,许可有效期,注册地址,场所地址,法人姓名
北京福源贵都电子游艺有限公司,京平娱（游艺）〔2011〕0002号,2018-08-08,北京市平谷区平谷镇向阳北街4号楼（4-1-1、4-1-2、4-1-4、4-1-36、4-1-37）,北京市平谷区平谷镇向阳北街4号楼（4-1-1、4-1-2、4-1-4、4-1-36、4-1-37）,刘杰
北京金魔指电子游艺有限公司,京兴娱（游艺）〔2014〕0046号,2018-07-21,北京经济技术开发区天华园二里二区19号楼F4C1,北京市北京经济技术开发区天华园二里二区19号楼F4C1,杨芳芳
北京悦宫电玩城有限公司,京顺娱（游艺）〔2016〕0136号,2018-07-17,北京市顺义区仁和镇平各庄村顺通路27号1号楼,北京市顺义区仁和镇平各庄村顺通路27号1号楼,王义龙
北京极速猫文化发展有限公司,京兴文娱033号,2018-06-24,北京市北京经济技术开发区天华路5号院2号楼017-3号,北京市北京经济技术开发区天华路5号院2号楼017-3号,张凌宇
北京龙和大道娱乐有限公司,京兴娱（游艺）〔2012〕0020号,2018-06-24,北京市大兴区龙河路97-131（单元）、109-1号1至3层113,北京市大兴区龙河路97-131（单元）、109-1号1至3层113,李占权
北京洲通盛典休闲健身娱乐有限公司,通游12036号,2018-06-23,北京市通州区通胡大街甲3号03层商业F3-05号,北京市通州区通胡大街甲3号03层商业F3-05号,周大伟
北京浩瀚乐园电子游艺有限公司,通游13048号,2018-06-23,北京市通州区潞苑南大街498号二层-24号,北京市通州区南大街498号二层-24号,李世鹏
北京时间隧道电子游艺有限公司,京兴娱（游艺）〔2012〕0032号,2018-06-19,北京市大兴区西红门镇九村京开路东侧福伟路20号103室,北京市大兴区西红门镇九村京开路东侧福伟路20号103室,王永
卓越隆宇（北京）文化传播有限公司,京东游艺26号,2018-06-02,北京市东城区国瑞东路41号（一层、二层）,北京市东城区国瑞东路41号（一层、二层）,张增仁
北京金龙翔宇文化娱乐有限公司,京东游艺22号,2018-06-01,北京市东城区鼎新路23号1幢一层、地下一层,北京市东城区鼎新路23号1幢一层、地下一层,肖振华
