单位名称,许可备案号,许可有效期,注册地址,场所地址,法人姓名
北京悦客天地动漫科技发展有限公司,海文游艺043号,2017-12-22,海淀区小营安宁庄后街路北1号-209室,海淀区小营安宁庄后街路北1号-209室,陶楠楠
北京美辰嘉业电子游艺有限公司,海文游艺048号,2017-12-22,海淀区北蜂窝路102号4号楼二层,海淀区北蜂窝路102号4号楼二层,胡芦香
北京动彩阳光文化有限公司,海文游艺049号,2017-12-22,海淀区学清路甲8号1号综合楼5、6层中厅,海淀区学清路甲8号1号综合楼5、6层中厅,孙兴武
北京和永盛娱乐有限公司,海文游艺052号,2017-12-22,海淀区新街口外文慧园路10号,海淀区新街口外文慧园路10号,韩美英
北京中万娱乐中心,海文游艺054号,2017-12-22,海淀区恩济庄永安东里3号楼一层,北京市海淀区恩济庄永安东里3号楼一层,郝欣
北京科乐美文化传媒有限公司,海文游艺055号,2017-12-22,海淀区海淀大街5号二层夹层DEF2A1号,海淀区海淀大街5号二层夹层DEF2A1号,王佳
酷乐时代（北京）电子游艺中心有限公司,京兴娱（游艺）〔2015〕0054号,2017-12-13,北京市大兴区兴业大街（三段）32号-3,北京市大兴区兴业大街（三段）32号-3,刘军
北京聚益中通电子游艺有限公司,通游11034号,2017-12-13,北京市通州区梨园镇颐瑞中路DBC加州小镇C区27号商业楼中2-201、2-202号商铺,北京市通州区梨园镇颐瑞中路DBC加州小镇C区27号商业楼中2-201、2-202号商铺,李强
北京青春飞扬娱乐中心,京兴文娱025号,2017-12-08,北京市大兴区黄村镇双河南巷23号,北京市大兴区黄村镇双河南巷23号,李洪港
北京蓝极光电子游艺有限公司,京兴娱（游艺）〔2011〕0026号,2017-12-08,北京市大兴区旧宫镇小红门路39号地下一层,北京市大兴区旧宫镇小红门路39号地下一层,刘学琴
北京玩转京东电子游艺有限公司,京通娱（游艺）0001号,2017-12-03,北京市通州区临河里33号楼101-058、059,通州区临河里33号楼101-058.059,魏恒
北京市浩瀚乐谷游艺有限公司,京通娱（游艺）0002号,2017-12-03,砖厂南里23号楼2层206.207,北京市通州区砖厂南里23号楼2层206.207,文恒飞
北京华亚星光娱乐有限公司,门文游15009号,2017-12-03,双峪路35号院五层2号,双峪路35号院五层2号,童宇
北京得利佳电子娱乐有限公司,京兴文娱022号,2017-11-23,北京经济技术开发区荣华中路7号院4号楼-1层,北京经济技术开发区荣华中路7号院4号楼-1层,涂强
北京鑫利康达娱乐文化发展有限公司,京兴娱（游艺）〔2011〕0021号,2017-11-23,北京市北京经济技术开发区天宝园五里二区1幢C2号3层,北京市北京经济技术开发区天宝园五里二区1幢C2号3层,曹小兵
北京酷玩未来电子游艺有限公司,京兴娱（游艺）〔2011〕0024号,2017-11-23,北京市大兴区黄村镇狼垡村长丰园社区3号楼3层301-303室,北京市大兴区黄村镇狼垡村长丰园社区3号楼3层301-303室,吴德明
北京酷玩空间娱乐有限公司,京平文游019,2017-11-15,北京市平谷区向阳北街4号楼19-24,北京市平谷区向阳北街4号楼19-24,王月星
北京星锐达电玩城,京兴娱（游艺）〔2013〕0047号,2017-11-12,北京市大兴区旧宫镇旧头路33号楼二层,北京市大兴区旧宫镇旧头路33号楼二层,韩雪梅
北京梦幻地带电子游艺有限公司,京平文游006,2017-10-30,北京市平谷区平谷镇新开街31号楼1-2；2-2,北京市平谷区平谷镇新开街31号楼1-2；2-2,贝玉雷
北京瑞祥飞龙旺牛娱乐有限公司,京兴娱（游艺）〔2011〕0014号,2017-10-30,北京市大兴区黄村镇新居里S3号楼,北京市大兴区黄村镇新居里S3号楼,王志强
北京南极之星电子游艺有限公司,京兴娱（游艺）〔2011〕0016号,2017-10-30,北京市大兴区黄村镇小营路北（聚莎苑酒店院内）,北京市大兴区黄村镇小营路北（聚莎苑酒店院内）,侯文智
北京七彩炫动电子游艺有限公司,京兴娱（游艺）〔2011〕0017号,2017-10-30,北京市大兴区黄村镇黄村东大街1号2号楼2层,北京市大兴区黄村镇黄村东大街1号2号楼2层,刘吉光
北京乐酷达人电子游艺有限公司,京平文游005,2017-10-20,北京市平谷区新开街22-2、22-3,北京市平谷区新开街22-2、22-3,王力生
北京欢乐渔村电子游艺有限公司,京平文游014,2017-10-10,北京市平谷区城关镇旧城街47号,北京市平谷区城关镇旧城街47号,高永刚
北京天昊蛟龙娱乐有限公司,京兴娱（游艺）〔2011〕0011号,2017-09-28,北京市大兴区西红门镇宏盛路221号,北京市大兴区西红门镇宏盛路221号,刘振雨
北京红丽满娱乐有限公司,京兴娱（游艺）〔2011〕0013号,2017-09-28,北京市大兴区黄村镇黄徐路西侧31号楼2层,北京市大兴区黄村镇黄徐路西侧31号楼2层,孟繁旭
北京恒星鸿运电子游艺有限公司,京兴娱（游艺）〔2011〕0015号,2017-09-28,北京市大兴区兴华大街55-67#地下一层,北京市大兴区兴华大街55-67#地下一层,耿占东
北京光辉时尚电子游艺有限公司,京兴娱（游艺）〔2013〕0044号,2017-09-28,北京市大兴区三羊中路100号院2号楼2层,北京市大兴区三羊中路100号院2号楼2层,常鹏
北京七彩无限电子游艺有限公司,京兴文娱(游艺)0043号,2017-09-23,北京市大兴区西红门镇金星庄团河路18号B区北二层西侧,北京市大兴区西红门镇金星庄团河路18号B区北二层西侧,成宏秋
北京转幻空间电子娱乐有限公司,京兴文娱010号,2017-09-13,北京经济技术开发区天花园一里一区5号楼（地下一层）,北京经济技术开发区天花园一里一区5号楼（地下一层）,孟宪中
北京黄村千年火娱乐厅,京兴娱（游艺）〔2011〕0007号,2017-09-13,大兴区黄村镇兴丰南大街,大兴区黄村镇兴丰南大街,付颖
北京动漫地带电子科技有限公司,京兴娱（游艺）〔2011〕0012号,2017-09-13,北京市大兴区旧宫镇西毓顺路16号A区007号,北京市大兴区旧宫镇西毓顺路16号A区007号,黄足敏
北京鑫海星空电子游艺有限公司,京平娱（游艺）0026号,2017-09-03,北京市平谷区平谷镇金乡嘉园9号楼一层底商,北京市平谷区平谷镇金乡嘉园9号楼一层底商,马悦翔
北京龙运达娱乐有限公司,京兴娱（游艺）〔2011〕0005号,2017-09-02,北京市大兴区西红门镇同兴园社区服务用房1号,北京市大兴区西红门镇同兴园社区服务用房1号,耿成波
北京博大酷乐娱乐有限公司,京兴娱（游艺）〔2011〕0006号,2017-09-02,北京市大兴区黄村镇康庄路28号六层,北京市大兴区黄村镇康庄路28号六层,徐爱国
北京博大宏祥旺牛娱乐有限公司,京兴娱（游艺）〔2011〕0008号,2017-09-02,北京市大兴区黄村镇郁花园二里综合楼地下一层西半部,北京市大兴区黄村镇郁花园二里综合楼地下一层西半部,丁付明
北京辉腾世纪电子游艺有限公司,京兴娱（游艺）〔2011〕0009号,2017-09-02,北京市大兴区亦庄镇贵园南路4号,北京市大兴区亦庄镇贵园南路4号,贾志超
北京盛天博睿电子游艺有限公司,京平文游011,2017-09-01,北京市平谷区平谷镇新开街29号楼13-2,北京市平谷区平谷镇新开街29号楼13-2,赵燕舞
北京奇幻无间娱乐有限公司,京兴文娱004号,2017-08-28,北京市大兴区黄村镇兴丰大街西,北京市大兴区黄村镇兴丰大街西,孟宪中
北京喜乐汇电子游艺有限公司,京兴娱（游艺）〔2011〕0001号,2017-08-28,北京市大兴区黄村东大街38号院2号楼4层,北京市大兴区黄村东大街38号院2号楼4层,孟长江
北京酷玩地带娱乐有限公司,京兴娱（游艺）〔2011〕0003号,2017-08-28,大兴区黄村镇兴华路202号吉星德亿商业中心四层,大兴区黄村镇兴华路202号吉星德亿商业中心四层,邱建明
北京辉上电子游艺有限公司,11011574020150002,2017-08-25,北京市大兴区永兴路7号院9号商业楼206,北京市大兴区永兴路7号院9号商业楼206,涂建辉
北京金马飞翔电子游艺有限公司,京平文游003,2017-08-18,北京市平谷区世纪广场东侧（第三层）,北京市平谷区世纪广场东侧（第三层）,李佳
北京鑫顺勤达电子游艺有限责任公司,通游11010号,2017-08-17,北京市通州区台湖镇定海园小区一里11号楼一层,北京市通州区台湖镇定海园小区一里11号楼一层,刘齐涛
北京鱼来旺电子游艺有限公司,通游2015001号,2017-08-17,北京市通州区新海东路15号楼3层301、4层501,北京市通州区新海东路15号楼3层301 4层501,朱丽丽
灿鸿酷玩（北京）电子游艺有限公司,京平文游010,2017-08-06,北京市平谷区平谷镇旧城街37号,北京市平谷区平谷镇旧城街37号,李纪森
北京时空梦幻电子游艺有限公司,京兴娱（游艺）〔2013〕0040号,2017-08-04,北京市大兴区黄村镇林校路69号院（69-3）（69-4）二层,北京市大兴区黄村镇林校路69号院（69-3）（69-4）二层,赵振义
北京天和星电子游艺有限公司,京兴娱（游艺）〔2015〕0051号,2017-07-19,北京市大兴区芦宋路1号1幢1-2层,北京市大兴区芦宋路1号1幢1-2层,于静涛
北京鑫展鸿电子娱乐有限公司,京兴娱（游艺）〔2013〕0042号,2017-07-15,北京市大兴区黄村镇金星西路3号及3号院3号楼3F-22B,北京市大兴区黄村镇金星西路3号及3号院3号楼3F-22B,安刘娜
北京奇幻境电子游艺有限公司,京兴娱（游艺）〔2013〕0041号,2017-06-19,北京市大兴区西红门镇团河路1号1幢3层,北京市大兴区西红门镇团河路1号1幢3层,张凤
北京零度空间电子游艺有限公司,京兴文娱（游艺）0039号,2017-05-27,北京市北京经济技术开发区康定街18号1号楼三层,北京市北京经济技术开发区康定街18号1号楼三层,崔松柏
北京动力幻想文化发展有限公司,京兴娱（游艺）〔2015〕0030号,2017-05-21,北京市大兴区旧宫镇旧桥路12号院19号楼地下一层,北京市大兴区旧宫镇旧桥路12号院19号楼地下一层,刘华鑫
北京云峰星娱乐城,京兴娱（游艺）〔2011〕0002号,2017-04-21,大兴区黄村镇富强4号地下一层,大兴区黄村镇富强4号地下一层,牟秀英
北京炫酷娱乐有限公司,京朝文娱365,2017-04-19,北京市朝阳区望京园605号楼5层601-602室,北京市朝阳区望京园605号楼5层601-602室,李丹江
北京越尚时光电子游艺有限公司,京兴娱（游艺）〔2013〕0038号,2017-04-15,北京市大兴区旧宫镇德茂庄西毓顺路甲1号3层,北京市大兴区旧宫镇德茂庄西毓顺路甲1号3层,陈超
北京竞技达人电子游艺有限公司,京兴娱（游艺）〔2013〕0037号,2017-02-26,北京市大兴区西红镇宏盛园小区商业综合楼1号楼一层,北京市大兴区西红镇宏盛园小区商业综合楼1号楼一层,成宏秋
北京鑫新时代娱乐有限公司,京平娱（游艺）〔2014〕0016号,2017-02-15,北京市平谷区平谷镇旧城街37号（1号楼）,北京市平谷区平谷镇旧城街37号（1号楼）,赵宝珠
北京森林地带电子游艺有限公司,京兴文娱028号,2017-02-15,北京市大兴区黄村镇黄村东大街56号四层,北京市大兴区黄村镇黄村东大街56号四层,程录军
北京奇幻星空电子娱乐有限公司,京兴文娱2014050号,2017-01-29,北京市大兴区黄村镇市场路139号四层,北京市大兴区黄村镇市场路139号四层,白岩
北京绿谷兴旺电子游艺有限公司,京平文游015,2017-01-27,平谷区平谷镇兴谷开发区10号区,平谷区平谷镇兴谷开发区10号区,高淑红
北京兴进拓宇娱乐有限公司,京兴文娱(游艺)0049号,2017-01-13,北京市大兴区丽园路30号院25号楼1层至2层105,北京市大兴区丽园路30号院25号楼1层至2层105,孙淑娟
北京七彩永利游乐园有限责任公司,昌文游201114号,2016-12-31,昌平区昌平镇北环路北(原物资公司),昌平区昌平镇北环路北(原物资公司),熊润
北京市昌盛年华文化传媒有限公司,昌文游201123号,2016-12-31,昌平区回龙观镇回南路9号院28号楼2层,昌平区回龙观镇回南路9号院28号楼2层,甘满珍
北京山河兄弟娱乐有限公司,京昌娱（游艺）〔2012〕0019号,2016-12-31,昌平区昌崔路203号沃尔玛购物广场东侧四楼,昌平区昌崔路203号沃尔玛购物广场东侧四楼,华生辉
北京鑫沐垣体育发展有限公司,京昌娱（游艺）〔2012〕0021号,2016-12-31,北京市昌平区回龙观镇北清路1号院7号楼-01层7-3B-164,北京市昌平区回龙观镇北清路1号院7号楼-01层7-3B-164,佟明科
北京法华里娱乐中心,京东游艺04号,2016-12-31,北京市东城区青年湖北街4号3层（南侧）,北京市东城区青年湖北街4号3层（南侧）,陈宜香
北京金伦股份有限公司,京东游艺07号,2016-12-31,北京市东城区崇文门外大街40号,北京市东城区崇文门外大街40号,闫广亮
北京市秧满宏电玩城,京东游艺30号,2016-12-31,北京市东城区东直门外大街48号东方银座C座地下一层01号,,李和喜
北京炫动全城娱乐有限公司,京东游艺35号,2016-12-31,北京市东城区东直门内大街288号一层26、27号及地下一层32号,北京市东城区东直门内大街288号一层26、27号及地下一层32号,李彬
北京风影世纪娱乐有限公司,京丰娱（游艺）0071号,2016-12-31,东铁营街道塔园12号9幢二层2003号,东铁营街道塔园12号9幢二层2003号,李俊杰
北京鼎雄电子游艺厅,京丰娱（游艺）〔2010〕0012号,2016-12-31,北京市丰台区横七条44号院1号商业一层,北京市丰台区横七条44号院1号商业一层,张岩
北京峡谷达人游乐园有限公司,京丰娱（游艺）〔2011〕0017号,2016-12-31,北京市丰台区南三环西路16号1号楼F6、01-05商铺,北京市丰台区南三环西路16号1号楼F6、01-05商铺,徐敏杰
北京大航海电子游艺有限公司,京丰娱（游艺）〔2011〕0031号,2016-12-31,北京市丰台区大成里春园1号二层,北京市丰台区大成里春园1号二层,李宽恒
北京胜龙时空电子游艺有限公司,京丰娱（游艺）〔2011〕0040号,2016-12-31,北京市丰台区云岗南区西里8号,北京市丰台区云岗南区西里8号,杨小刚
北京动感世纪娱乐有限公司,京丰娱（游艺）〔2012〕0054号,2016-12-31,北京市丰台区南苑警备东路6号二区航空装备研究所保障服务楼地下一层北段,北京市丰台区南苑警备东路6号二区航空装备研究所保障服务楼地下一层北段,刘艳龙
北京民辉文化传媒有限公司,京丰娱（游艺）〔2012〕0060号,2016-12-31,北京市丰台区大成南里三区13号楼F5-8,北京市丰台区大成南里三区13号楼F5-8,张兴慧
北京酷乐年华游艺娱乐有限公司,京丰娱（游艺）〔2012〕0062号,2016-12-31,北京市丰台区丰台镇南开西里23号楼一层,北京市丰台区丰台镇南开西里23号楼一层,刘波
北京和丰金娱乐有限公司,京丰娱（游艺）〔2014〕0056号,2016-12-31,北京市丰台区科学城恒富中街9号楼2-3层,北京市丰台区科学城恒富中街9号楼2-3层,付学军
北京智乐岛文化发展有限公司,京丰娱（游艺）〔2016〕0070号,2016-12-31,开阳路8号六层601-02,北京市丰台区开阳路8号六层601-02,周钦勇
密云大剧院,密文娱游01,2016-12-31,密云县鼓楼西大街1号,密云县鼓楼西大街1号,唐勇
北京顺鑫中盛国际会议中心有限公司电子游艺厅,顺文娱122号,2016-12-31,北京市顺义区潮白河畔李遂镇西侧（顺鑫绿色度假村2层1号）,北京市顺义区潮白河畔李遂镇西侧（顺鑫绿色度假村2层1号）,杨文海
北京荣燊电玩城有限公司,顺文娱134号,2016-12-31,北京市顺义区南法信镇金关北二街3号院1号楼101室,北京市顺义区南法信镇金关北二街3号院1号楼101室,崔伟洋
北京金圣电玩城,延文游2015004号,2016-12-31,北京市延庆县延庆镇东外大街99号1008室,北京市延庆县延庆镇东外大街99号1008室,陈岩
北京依本电子娱乐有限公司,京兴文娱(游艺)0048号,2016-11-14,北京经济技术开发区鹿海园四里9号楼-1层-1001号,北京经济技术开发区鹿海园四里9号楼-1层-1001号,陶红亮
北京市紫光影城,京朝文娱157,2016-09-30,朝阳区朝外大街10号蓝岛西区5-6层,朝阳区朝外大街10号蓝岛西区5-6层,温京鸣
北京高博飞扬文化娱乐有限公司,京朝文娱416,2016-09-30,,,
北京亚辰京宝电玩城有限公司,京朝娱（游艺）〔2012〕0376号,2016-09-30,朝阳区南沙滩66号院一号楼2层1-4-（2）,朝阳区南沙滩66号院一号楼2层1-4-（2）,张贺
北京智都亿佳娱乐有限公司,京朝娱（游艺）〔2012〕0383号,2016-09-30,北京市朝阳区小营东路3号地下一层,北京市朝阳区小营东路3号地下一层,刘洪彬
北京火烧云电子游艺厅有限公司,京朝文娱384,2016-02-04,北京市朝阳区甘露园南里18号楼西段18-4-1、18-4-2,北京市朝阳区甘露园南里18号楼西段18-4-1、18-4-2,冯兴杨
北京嘉福娱乐城,怀文娱0902,2016-01-18,,,
北京京北玩转天下休闲娱乐有限公司,怀文娱201104,1970-02-01,,,
北京三鼎娱乐城,怀文娱201106,1970-02-01,,,
北京玩家会动漫文化有限公司,昌文游041号,,昌平区城北街道南环路10号院1号楼五层L5017,,何在洋
北京悠景创艺文化交流有限公司,昌文游042号,,昌平区鼓楼南街6号四层,,孔凡东
北京恒源汇丰游乐园有限公司,昌文游201101号,,昌平区昌平镇鼓楼西街12号楼地下一层,,邢仲山
北京联英顺世商贸有限公司,昌文游201102号,,昌平区城北街道府学路16号,,高玉伟
北京同乐开心游乐园有限公司,昌文游201103号,,昌平区马池口镇社区服务中心南大厅东侧厅,,高崇
北京富和盛世文化娱乐有限公司,昌文游201104号,,昌平区回龙观镇西大街19号二层,,胡伟伟
北京天利伟业文化娱乐有限公司,昌文游201105号,,昌平区政府街西路19号四层,,李耕
北京东恒汇鑫电子技术有限责任公司,昌文游201106号,,昌平区鼓楼南大街车厢胡同45号,,张恒
北京欢乐豆文化交流有限公司,昌文游201107号,,昌平区回龙观镇居住区A8区配套商业楼二层,,高阳
北京喜福佳运文化娱乐有限公司,昌文游201108号,,昌平区东小口镇天通苑北三区B03区1号楼三层,,高远
北京欢乐之城电子科技有限公司,昌文游201109号,,昌平区东小口镇天通苑三区10号楼地上一层和地下一层（原天通苑405号楼）,,熊礼云
北京锦祥逢缘文化交流有限责任公司,昌文游201110号,,昌平区昌平镇府学路26号,,陈辉
北京易币文化传播有限公司,昌文游201111号,,昌平区昌平镇城北北街道府学路33号,,王岭
北京梦幻之城娱乐有限公司,昌文游201112号,,昌平区鼓楼南街12号,,张妍
北京酷迪电子休闲娱乐有限公司,昌文游201113号,,昌平区城北街道西环路7号四层,,强小兵
北京彩色马科技发展有限公司,昌文游201115号,,昌平区立汤路188号北方明珠大厦地下一层,,刘学
北京乐佳天地动漫科技有限公司,昌文游201116号,,昌平区东小口镇立汤路188号院北方明珠大厦五层,,赵能发
北京鑫辉佳业文化娱乐有限公司,昌文游201117号,,昌平区昌平镇水南路2号楼地下一层,,吴秋萍
北京旭飞联动文化娱乐有限公司,昌文游201118号,,昌平区沙河镇巩华城大街84号,,沈晓雨
北京酷派文化娱乐有限责任公司,昌文游201120号,,昌平区东小口镇天通苑西苑三区713#、801#、802#楼,,张和成
北京鑫沐垣体育发展有限责任公司,昌文游201121号,,昌平区回龙观镇二拨子村南侧物业楼三层,,唐美兰
北京火骑士文化有限公司,昌文游201122号,,昌平区回龙观镇回龙观西大街18号（地下一层C区）,,李霞
北京幸运快线文化娱乐有限公司,昌文游201124号,,昌平区东小口镇天通苑东苑东三区2号楼B825门地下一层,,赵宝海
北京昌都金典文化娱乐有限公司,昌文游201125号,,昌平区昌平镇西环路26号楼,,冯薪晓
北京世纪共创文化娱乐发展有限公司,昌文游201126号,,昌平区昌平镇鼓楼西大街(原昌平菜市场三层),,崔凤宝
北京泰百合文化中心,昌文游201127号,,昌平区回龙观东大街3号楼负1层02号,,吴迎迎
北京兄弟盛和文化娱乐有限公司,昌文游201128号,,昌平区回龙观镇东大街3号楼01号-1层,,李永亮
北京华辰星际文化发展有限公司,昌文游201129号,,昌平区东小口镇立汤路186号,,陈春红
北京炎鼎文化交流有限公司,昌文游201130号,,昌平区城南街道水南路10号楼（地下一层及地上二层）,,史传富
北京荏苒时光娱乐有限公司,昌文游201131号,,昌平区东小口镇天通苑东苑三区2号楼6门地下一层、地上一、二层,,刘百君
北京欢乐东村娱乐有限公司,昌文游201132号,,昌平区北七家镇立汤路58号1幢奥北宝迪酒店地下一层,,张则枉
北京永旺达游乐科技有限公司,昌文游201133号,,昌平区回龙观镇西大街19号北店时代广场C段四层,,孔俊
北京红鼎黑石文化娱乐有限公司,昌文游201134号,,昌平区昌平镇南环路26号地下一层,,董亮
北京禄路通达文化发展有限公司,昌文游201135号,,昌平区沙河镇松兰堡村委会西侧,,屈如新
北京名云舟电子游艺有限公司,昌文游201136号,,昌平区回龙观镇建材城西路87号院4号楼地下一层（西三旗环岛东北角）,,王云名
北京吉祥列车文化娱乐有限公司,昌文游201137号,,昌平区沙河镇松兰堡村西沙河宾馆3楼,,陆原
北京市渔人码头电玩城有限公司,昌文游201138号,,昌平区沙河镇于辛庄村(北摩高科西侧)三层,,郭守兵
北京市昌运胜华文化传媒有限公司,昌文游201139号,,昌平区北七家镇天通苑东苑三区56号楼2门1、3、4层，3门3、4层,,刘午宝
北京天王星动漫科技有限公司,昌文游201140号,,昌平区佳运园26号楼2层205-212,,李平
北京九华山庄国际保健俱乐部集团有限公司,昌文娱001,,昌平区小汤山镇葫芦河村北,,夏敏
北京中祥瑞娱乐有限公司,房文游016,,北京市房山区良乡西潞大街甲2号,,张野
北京精灵兔娱乐有限公司,房文游017,,北京市房山区城关街道农林路2号7号楼（7-1.2.3）,,张建
北京小芹紫函电子游艺有限公司,房文游021,,北京市房山区城关北大寺街,,卢小芹
北京安妮娱乐有限公司,房文游024,,北京市房山区良乡西潞南大街5号,,李国家
北京市依多娱乐有限公司,丰文游001,,北京市丰台区慧时欣园10号楼一层,,张文献
北京诚信文化娱乐中心竹林电子游艺厅,丰文游002,,北京市方庄芳古园一区29号楼1-1-1,,倪竹（负责人）
北京诚信文化娱乐中心万柳电子游艺厅,丰文游005,,北京市丰台区马家堡西路15号三层,,滕强俤（负责人）
北京诚信文化娱乐中心丰成电子游艺厅,丰文游006,,北京市丰台区海户西里1号地下一层,,张明（负责人）
北京诚信文化娱乐中心仁乐电子游艺厅,丰文游008,,北京市丰台区大成路21号2-4号（二层）,,钱兴胜（负责人）
北京诚信文化娱乐中心电脑人电子游艺厅,丰文游009,,北京市丰台区西罗园四区南二段（亿兴西罗园商场三层）,,么庆禄（负责人）
北京诚信文化娱乐中心同翔电子游艺厅,丰文游011,,北京市丰台区大红门北路西侧3号楼二层,,孙翔涛（负责人）
北京金鑫娱乐中心第一分部,丰文游013,,北京市丰台区太平桥15号地下一层,,王照需（负责人）
北京万柳桥台球城电子游艺厅,丰文游014,,北京市丰台区花乡育芳园小区49号-2号,,吕玲（负责人）
北京天地和辉娱乐城,丰文游015,,北京市丰台区大红门永南路25号地下一层,,田丽敏
北京诚信文化娱乐中心和平电子游艺厅,丰文游016,,北京市丰台区东高地万源西里36栋-甲44栋地下一层,,倪竹（负责人）
北京金鑫娱乐中心第二分部,丰文游018,,北京市丰台区新发地168号综合商业楼一层,,曹文亮（负责人）
北京悦鑫方舟娱乐有限公司,丰文游019,,北京市丰台区三顷地甲2号综合楼二层,,葛玲霞
北京天地和辉娱乐城第二技术服务部,丰文游020,,北京市丰台区西四环南路66号6幢二层201室,,王长迪
北京天地和辉娱乐城第三技术服务部,丰文游021,,北京市丰台区大红门路7号三层,,王长思
北京酷玩天地娱乐有限公司,丰文游023,,北京市丰台区首经贸中街8号楼三层东侧,,孙成涛
北京聚焦空间娱乐城,丰文游024,,北京市丰台区卢沟桥晓月中路2号二层,,宁兆吉
北京十彩缤纷娱乐中心,丰文游026,,北京市丰台区马家堡路118号地下一层,,高春英
北京环游世纪娱乐有限公司,丰文游028,,北京市丰台区南大红门警备东路6号二区东门综合楼三层,,王明忠
北京十利通娱乐有限公司,丰文游029,,北京市丰台区西四环中路77号12号楼地下一层,,高建军
北京诚信文化娱乐中心酷玩达人电子游艺厅,丰文游030,,北京市丰台区宋庄路71号院1号楼三层,,于爱平（负责人）
北京福星欣月娱乐有限公司,丰文游032,,北京市丰台区左安门外南方庄68号楼地下一层,,齐铭
北京维尼电玩乐园电子游艺厅有限公司,丰文游033,,北京市丰台区新村1里15号二层,,白涛
北京时代巨酷娱乐有限公司,丰文游034,,北京市丰台区丰台文体路58号一层,,曹文亮
北京诚信文化娱乐中心万隆达电子游艺厅,丰文游037,,北京市丰台区万丰路308号一层,,王明宇（负责人）
北京喜乐门电子游艺有限责任公司,丰文游038,,北京市丰台区丰西北里3号楼西侧1号楼二层,,杨贵
北京腾龙时空电子游艺有限公司,丰文游041,,北京市丰台区朱家坟五里二号院44号楼二层,,杨小刚
北京达人世集休闲健身娱乐有限公司,丰文游042,,北京市丰台区西四环南路8-1号1幢三层301-1号,,邱群
北京时代巨人康体健身俱乐部,丰文游043,,北京市丰台区南三环中路67号6号楼地下一层,,颜军士
北京宏运世纪电子游艺厅,丰文游045,,北京市丰台区长辛店杜家坎南路5号商业楼A座3层西侧,,田金库
北京梦羽嘉体育文化发展有限公司,丰文游046,,北京市丰台区双庙村125号院1号楼地下室,,陈嘉骅
北京梦幻世界电子游艺有限公司,丰文游047,,北京市丰台区西马场南里一区28号楼二层,,王景斌
北京乐友易高文化发展有限公司,丰文游048,,北京市丰台区城南嘉园益城园14号楼4层F06/16/17,,李胜勇
北京天开世纪电子游艺有限公司,丰文游049,,北京市丰台区万丰路526号一层,,吕鹏
北京环游嘉年华电子游艺有限公司,丰文游050,,北京市丰台区马家堡东路101号院10号楼5层,,李兴国
北京丰岳酷乐文化有限公司,丰文游051,,北京市丰台区青塔西路58号院22号楼201、301—306号,,毛凯
北京天地和辉娱乐城第四技术服务部,丰文游052,,北京市丰台区丰管路16号1号楼2001号,,王长迪（负责人）
北京聚银良润文化发展有限公司,丰文游055,,北京市丰台区右安门外大街2号楼C段-4,,邱德华
北京韵泽大地电子游艺有限公司,丰文游057,,北京市丰台区南苑镇新华路12号1、2幢,,黄伟
北京康闲世纪康体健身俱乐部,丰文游061,,北京市丰台区南方庄2号院2号楼2幢201室,,曹小兵
北京梦幻龙福娱乐有限公司,丰文游063,,北京市丰台区小井村4号综合商业楼地下一层局部、一层局部、二层局部,,孙海舟
北京得利佳电子娱乐有限公司骏景电子娱乐分公司,丰文游066,,北京市丰台区果园7号楼B1层B188号,,赵雅茹
北京福源高地文化娱乐有限公司,丰文游067,,北京市丰台区东高地南街7号二层,,崔怀军
北京诚信文化娱乐中心快乐达人电子游艺厅,丰文游068,,北京市丰台区靛厂商业街4号楼一层东侧,,王明宇（负责人）
北京鑫牛旺电玩城,丰文游069,,北京市丰台区马家堡路180号地上一层南侧地下一层南侧,,艾鑫
合信（北京）娱乐有限公司,海文游艺001号,,北京市海淀区花园路2号33号楼商业一、二层,,
北京天和照丰文化发展有限公司,海文游艺002号,,北京市海淀区羊坊店路21号地下一层西北角,,
北京乐鑫娱乐有限公司,海文游艺008号,,海淀区中关村大街11号中关村E世界数码商城(地下一层),,
北京酷秀时空娱乐有限公司,海文游艺017号,,海淀区西三环北路21号二层,,
北京世纪友佳休闲健身娱乐有限公司,海文游艺031号,,海淀区翠微路12号新华联商业大厦4层商业5A07-10.11.12号,,
北京欢乐维尼娱乐有限公司,海文游艺037号,,海淀区知春路甲48号4号楼3001,,
北京雄京电子游艺有限公司,海文游艺044号,,海淀区清河勇泰园甲1号综合楼地下一层,,
北京南梦宫娱乐有限责任公司,海文游艺045号,,海淀区圆明园西路18号中发百旺商城5层5001号,,
北京八号达人休闲娱乐有限公司,海文游艺049号,,海淀区学清路甲8号1号综合楼5、6层中厅,,
北京科美乐文化传媒有限公司,海文游艺050号,,海淀区双清路88号3层304号三层,,
北京梦幻空间休闲健身娱乐有限公司,海文游艺051号,,海淀区清河安宁庄东路18号23号楼一层,,
北京恒德利电子游艺有限责任公司,海文游艺053号,,海淀区中关村大街18号8层03号,,
北京中方娱乐中心,海文游艺054号,,海淀区恩济庄永安东里3号楼一层,,
北京欢乐悦动电子游艺有限公司,怀文娱006,,怀柔区府前街14号六层东侧,,邱晓婕
北京酷玩红蜻蜓台球娱乐有限公司,怀文娱016-01,,怀柔区青春路丙2号1幢3层,,邱雄
北京富丽华娱乐城,怀文娱0704,,怀柔区青春路北,,赵怀江
